pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
98,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
63,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
105,0,,,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0.5
153,0,,,42.0,42.0,1.0,42.0,0,0,1,1,1,1,0.6666666666666666
78,1,81.0,76.0,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666
121,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
46,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,0,1,1,1,0.8333333333333334
55,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
95,0,,,21.0,21.0,1.0,21.0,0,0,0,0,0,0,0.0
79,1,77.0,87.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666
135,0,,,42.0,42.0,1.0,42.0,0,1,0,1,1,1,0.6666666666666666
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
107,0,,,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666
75,1,67.0,67.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
16,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
42,1,22.0,88.0,2.0,2.0,1.0,2.0,0,0,1,1,1,0,0.5
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
38,1,73.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
80,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666
124,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
113,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
104,0,,,58.0,58.0,1.0,58.0,0,0,0,1,0,0,0.16666666666666666
13,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
158,0,,,35.0,35.0,1.0,35.0,0,1,0,1,1,1,0.6666666666666666
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
159,0,,,0.0,0.0,1.0,0.0,1,0,1,1,0,1,0.6666666666666666
123,0,,,5.0,5.0,1.0,5.0,0,0,1,1,1,0,0.5
68,1,53.0,52.0,1.0,1.0,1.0,1.0,0,0,1,1,1,1,0.6666666666666666
127,0,,,3.0,3.0,1.0,3.0,0,0,0,1,1,1,0.5
57,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
126,0,,,13.0,13.0,1.0,13.0,0,1,1,0,1,1,0.6666666666666666
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
146,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
65,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
84,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
51,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
53,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
74,1,66.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
102,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
71,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
47,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
122,0,,,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666
110,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
50,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
77,1,72.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
67,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
15,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
91,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666
119,0,,,57.0,57.0,1.0,57.0,0,0,0,1,0,0,0.16666666666666666
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
118,0,,,50.0,50.0,1.0,50.0,0,1,1,0,1,1,0.6666666666666666
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
134,0,,,17.0,17.0,1.0,17.0,0,1,1,1,1,0,0.6666666666666666
108,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5
