pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,education_match,marital_status_match,sex_match,religion_match,ethnicity_match,overall_similarity,attack_score
48,1,14.0,14.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
49,1,17.0,17.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
50,1,18.0,18.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
51,1,21.0,21.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
52,1,23.0,22.0,7.071067811865476,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714,0.24396363798520823
53,1,28.0,23.0,8.48528137423857,12.0,0.9079593845004515,6.0,0,6.0,0,0,1,1,1,1,0.5714285714285714,0.6015277273688963
54,1,25.0,25.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
55,1,27.0,27.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
56,1,42.0,28.0,24.75883680627989,35.0,0.0587220219514703,17.0,0,18.0,0,1,1,1,1,1,0.7142857142857143,0.6841708955485416
57,1,29.0,29.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
58,1,32.0,32.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
59,1,35.0,35.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
62,1,39.0,39.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
63,1,41.0,41.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
64,1,53.0,42.0,0.0,0.0,1.0,0.0,1,0.0,1,0,1,1,1,1,0.8571428571428571,0.9451519804960307
65,1,46.0,46.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
66,1,48.0,48.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
67,1,50.0,50.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
68,1,52.0,52.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
69,1,59.0,53.0,73.824115301167,100.0,0.9376696395377352,65.0,0,35.0,0,1,0,1,1,1,0.5714285714285714,0.2686038200822627
70,1,55.0,55.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
71,1,57.0,57.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
73,1,62.0,62.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
74,1,66.0,66.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
75,1,67.0,67.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
77,1,72.0,72.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
78,1,81.0,76.0,19.79898987322333,28.0,0.973319541973037,14.0,0,14.0,0,0,1,1,1,1,0.5714285714285714,0.8590035378025346
79,1,77.0,87.0,1.0,1.0,0.9999876306108578,0.0,1,1.0,0,0,1,1,0,1,0.5714285714285714,0.5151315676906824
80,0,,,2.8284271247461903,4.0,0.999530366872928,2.0,0,2.0,0,0,1,1,1,0,0.4285714285714285,0.07227363066142199
81,0,,,21.213203435596427,30.0,0.97612349211944,15.0,0,15.0,0,0,1,1,0,0,0.2857142857142857,0.7852546551941062
82,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.4285714285714285,0.07008821294412623
83,0,,,5.656854249492381,8.0,0.9429903335828896,4.0,0,4.0,0,0,1,1,1,1,0.5714285714285714,0.09223017668705547
84,0,,,5.0,7.0,0.9615239476408232,4.0,0,3.0,0,0,1,1,1,1,0.5714285714285714,0.09267533335293189
85,0,,,43.01162633521314,60.0,0.9058711363038314,25.0,0,35.0,0,0,1,1,1,1,0.5714285714285714,0.1319829903348036
86,0,,,2.8284271247461903,4.0,0.999530366872928,2.0,0,2.0,0,0,1,1,1,0,0.4285714285714285,0.07227363066142199
87,0,,,2.8284271247461903,4.0,0.999645745626897,2.0,0,2.0,0,1,1,0,0,1,0.4285714285714285,0.07147421250049732
88,0,,,1.4142135623730951,2.0,0.99989797479951,1.0,0,1.0,0,0,1,1,0,1,0.4285714285714285,0.10875227157976299
89,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714,0.12146713950845972
90,0,,,98.02040603874276,100.0,0.1999600119960014,2.0,0,98.0,0,1,0,1,1,1,0.5714285714285714,0.13888972080635753
91,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,1,0,1,1,0,0.4285714285714285,0.07525685643531932
92,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714,0.12146713950845972
93,0,,,5.0,7.0,0.9982477853627412,4.0,0,3.0,0,0,1,1,0,1,0.4285714285714285,0.06803904765199237
94,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714,0.1761521423320791
95,0,,,81.74350127074322,100.0,0.9980720449599262,21.0,0,79.0,0,0,0,0,0,0,0.0,0.1266853460325235
96,0,,,1.4142135623730951,2.0,0.9999293455617064,1.0,0,1.0,0,1,0,0,1,1,0.4285714285714285,0.09364693039334887
97,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,1,1,0,0,1,0.4285714285714285,0.0700707608841337
98,0,,,2.23606797749979,3.0,0.9996864009631498,2.0,0,1.0,0,1,1,0,0,1,0.4285714285714285,0.09378943150605501
99,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.4285714285714285,0.07008821294412623
100,0,,,5.656854249492381,8.0,0.9980780379011612,4.0,0,4.0,0,0,0,1,1,1,0.4285714285714285,0.06914665900295196
101,0,,,45.967379738244816,65.0,0.8891697339498824,33.0,0,32.0,0,0,1,1,1,1,0.5714285714285714,0.13057676827457887
102,0,,,2.23606797749979,3.0,0.991997911723619,1.0,0,2.0,0,0,1,1,1,1,0.5714285714285714,0.11126649630372605
103,0,,,6.4031242374328485,9.0,0.9405538996916956,5.0,0,4.0,0,0,1,1,1,1,0.5714285714285714,0.14752012548621127
104,0,,,82.73451516749222,117.0,0.6140195062217415,58.0,0,59.0,0,0,0,1,0,0,0.1428571428571428,0.14038898038455686
105,0,,,1.0,1.0,0.9999946949461404,1.0,0,0.0,1,0,1,1,0,1,0.5714285714285714,0.39609639168091365
106,0,,,4.242640687119285,6.0,0.9989083757203046,3.0,0,3.0,0,0,1,0,1,1,0.4285714285714285,0.0675893350664785
107,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,0,1,0,1,1,0.4285714285714285,0.06778250866021568
108,0,,,4.242640687119285,6.0,0.9990150416331904,3.0,0,3.0,0,0,1,0,1,1,0.4285714285714285,0.0675893350664785
109,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714,0.09454683789855593
110,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.4285714285714285,0.07008821294412623
111,0,,,7.071067811865476,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714,0.24396363798520823
112,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714,0.12146713950845972
113,0,,,3.605551275463989,5.0,0.9992163444154916,3.0,0,2.0,0,0,1,0,1,1,0.4285714285714285,0.06813799761307365
114,0,,,2.23606797749979,3.0,0.9877629653290688,2.0,0,1.0,0,0,1,1,0,1,0.4285714285714285,0.20423318007636845
115,0,,,82.00609733428362,101.0,0.998044725250796,22.0,0,79.0,0,1,1,1,1,1,0.7142857142857143,0.1733756539402813
116,0,,,43.01162633521314,60.0,0.9058711363038314,25.0,0,35.0,0,0,1,1,1,1,0.5714285714285714,0.1319829903348036
117,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,0,1,0,1,1,0.4285714285714285,0.06778250866021568
118,0,,,2.8284271247461903,4.0,0.999645745626897,2.0,0,2.0,0,1,1,0,0,1,0.4285714285714285,0.07147421250049732
119,0,,,79.90619500389191,113.0,0.6476517177143802,57.0,0,56.0,0,0,0,1,0,0,0.1428571428571428,0.14291634379760795
120,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.4285714285714285,0.06862534347827755
121,0,,,5.0,7.0,0.9982390449050826,3.0,0,4.0,0,0,1,1,0,1,0.4285714285714285,0.06798275919439849
122,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714,0.09454683789855593
123,0,,,7.071067811865476,10.0,0.9967621935758518,5.0,0,5.0,0,0,1,1,0,1,0.4285714285714285,0.1669576694635991
124,0,,,82.00609733428362,101.0,0.998044725250796,22.0,0,79.0,0,1,1,1,1,1,0.7142857142857143,0.1733756539402813
125,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,1,0,1,1,0,0.4285714285714285,0.07525685643531932
126,0,,,2.8284271247461903,4.0,0.9904048953654894,2.0,0,2.0,0,1,1,1,0,1,0.5714285714285714,0.09454683789855593
127,0,,,4.242640687119285,6.0,0.9987474408768876,3.0,0,3.0,0,0,0,1,1,1,0.4285714285714285,0.06862534347827755
128,0,,,5.0,7.0,0.9987656343552852,4.0,0,3.0,0,1,0,1,1,0,0.4285714285714285,0.07546707973151365
129,0,,,1.4142135623730951,2.0,0.999913019967425,1.0,0,1.0,0,0,1,1,0,0,0.2857142857142857,0.10948294034815326
130,0,,,5.0,7.0,0.9982390449050826,3.0,0,4.0,0,0,1,1,0,1,0.4285714285714285,0.06798275919439849
131,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.4285714285714285,0.06862534347827755
132,0,,,44.553338819890925,63.0,0.894546194072821,32.0,0,31.0,0,0,1,1,1,1,0.5714285714285714,0.13147785611575613
133,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714,0.1761521423320791
134,0,,,2.8284271247461903,4.0,0.982872186934322,2.0,0,2.0,0,0,1,1,0,1,0.4285714285714285,0.1195065496849338
135,0,,,4.242640687119285,6.0,0.9987743681755402,3.0,0,3.0,0,0,0,1,1,1,0.4285714285714285,0.06862534347827755
136,0,,,4.242640687119285,6.0,0.9990150416331904,3.0,0,3.0,0,0,1,0,1,1,0.4285714285714285,0.0675893350664785
137,0,,,83.95236744726142,100.0,0.9996686059265358,18.0,0,82.0,0,1,1,1,1,1,0.7142857142857143,0.21646143449494462
138,0,,,2.23606797749979,3.0,0.998274373174996,2.0,0,1.0,0,0,1,1,1,1,0.5714285714285714,0.10051325068666922
139,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,1,0,1,0.4285714285714285,0.06839426425717345
140,0,,,6.4031242374328485,9.0,0.9405538996916956,5.0,0,4.0,0,0,1,1,1,1,0.5714285714285714,0.14752012548621127
141,0,,,2.23606797749979,3.0,0.998274373174996,2.0,0,1.0,0,0,1,1,1,1,0.5714285714285714,0.10051325068666922
142,0,,,44.553338819890925,63.0,0.894546194072821,32.0,0,31.0,0,0,1,1,1,1,0.5714285714285714,0.13147785611575613
143,0,,,5.656854249492381,8.0,0.9418419105018364,4.0,0,4.0,0,0,1,1,1,1,0.5714285714285714,0.09223017668705547
144,0,,,26.87005768508881,38.0,0.966223491892278,19.0,0,19.0,0,0,1,1,1,1,0.5714285714285714,0.5697020802983599
145,0,,,3.605551275463989,5.0,0.9991305155208084,3.0,0,2.0,0,0,1,1,0,1,0.4285714285714285,0.0682227139816816
146,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,0,1,0,1,1,0.4285714285714285,0.0677270345549247
147,0,,,45.967379738244816,65.0,0.8891697339498824,33.0,0,32.0,0,0,1,1,1,1,0.5714285714285714,0.13057676827457887
148,0,,,4.242640687119285,6.0,0.9987984612701076,3.0,0,3.0,0,0,1,1,0,1,0.4285714285714285,0.06787285777765138
149,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714,0.1761521423320791
150,0,,,1.0,1.0,0.99992742842619,0.0,1,1.0,0,1,1,1,0,0,0.5714285714285714,0.41223629792794947
151,0,,,2.23606797749979,3.0,0.991997911723619,1.0,0,2.0,0,0,1,1,1,1,0.5714285714285714,0.11126649630372605
152,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714,0.1761521423320791
153,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,1,1,0,0,1,0.4285714285714285,0.0700707608841337
154,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,1,0,1,0.4285714285714285,0.06839426425717345
155,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,0,1,1,0.4285714285714285,0.06830925354845496
156,0,,,4.242640687119285,6.0,0.9706640711883568,3.0,0,3.0,0,0,1,1,1,1,0.5714285714285714,0.09316788738430938
157,0,,,7.071067811865476,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714,0.24396363798520823
158,0,,,3.605551275463989,5.0,0.982872186934322,2.0,0,3.0,0,1,1,0,1,1,0.5714285714285714,0.09621924153661991
159,0,,,5.656854249492381,8.0,0.9978557614683712,4.0,0,4.0,0,0,1,1,1,0,0.4285714285714285,0.0707653841727382
