pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity,attack_score
29,1,158.0,51.0,84128.00071914226,84139.0,0.0491268437551413,0.0,1,11.0,0,84128.0,0,0.0,1,0.0,1,0.6,0.791077176729838
30,1,1114.0,54.0,14.866068747318506,21.0,0.8583380371663086,11.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9149243036905924
31,1,504.0,55.0,10.816653826391969,15.0,0.9785017405118042,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9164242744445801
32,1,262.0,58.0,11.31370849898476,16.0,0.8672333670072829,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9143308202425638
33,1,502.0,60.0,13.038404810405298,18.0,0.9945568014545304,11.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.913612981637319
34,1,169.0,62.0,41001.00175605469,41013.0,0.0496436521804753,0.0,1,12.0,0,41001.0,0,0.0,1,0.0,1,0.6,0.9038065274556478
35,1,49.0,65.0,23925.000752351087,23931.0,0.1622185168359904,0.0,1,6.0,0,23925.0,0,0.0,1,0.0,1,0.6,0.9074222644170126
36,1,1112.0,67.0,11.180339887498947,15.0,0.943299960147786,10.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9124471346537272
37,1,1119.0,68.0,15.264337522473747,21.0,0.9055901158603296,13.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9098960558573405
38,1,467.0,70.0,85209.0007100189,85220.0,0.0557094265216483,0.0,1,11.0,0,85209.0,0,0.0,1,0.0,1,0.6,0.8640349308649699
39,1,934.0,72.0,10493.0047650804,10503.0,0.2347257714907883,0.0,1,10.0,0,10493.0,0,0.0,1,0.0,1,0.6,0.9070279399553934
40,1,1264.0,74.0,14.866068747318506,21.0,0.8583380371663086,11.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9149243036905924
41,1,347.0,75.0,95109.00075702617,95121.0,0.0412495589301633,0.0,1,12.0,0,95109.0,0,0.0,1,0.0,1,0.6,0.8740586837132772
42,1,407.0,77.0,84111.00059445256,84121.0,0.3900814467107392,0.0,1,10.0,0,84111.0,0,0.0,1,0.0,1,0.6,0.8872517347335815
43,1,90.0,79.0,10.14889156509222,17.0,0.900723569542759,7.0,0,1.0,0,0.0,0,0.0,1,2.0,0,0.2,0.619395578900973
44,1,21.0,82.0,14.866068747318506,21.0,0.949102873131748,0.0,1,11.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9146503408749899
45,1,857.0,83.0,16.278820596099706,23.0,0.8484447066652347,12.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9022185007731119
46,1,937.0,84.0,18.708286933869708,28.0,0.8322397195638239,15.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8711544076601664
47,1,542.0,85.0,8.94427190999916,12.0,0.9917826235273202,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9165400862693787
48,1,107.0,86.0,31003.000790246097,31010.0,0.0842404702447808,0.0,1,7.0,0,31003.0,0,0.0,1,0.0,1,0.6,0.9060569604237875
49,1,1137.0,89.0,10.816653826391969,17.0,0.9045010937796284,8.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.9055700500806173
50,1,204.0,90.0,16.822603841260722,29.0,0.985487485068222,11.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5905953347682953
51,1,150.0,92.0,47727.001508580026,47739.0,0.1862695710950253,0.0,1,12.0,0,47727.0,0,0.0,1,0.0,1,0.6,0.5320214629173279
52,1,1159.0,94.0,14.142135623730953,16.0,0.9762827219243168,14.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.8791396220525106
53,1,693.0,95.0,19.261360284258224,23.0,0.6257681363874317,19.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.39654841522375744
54,1,373.0,98.0,12.727922061357855,18.0,0.975788285350786,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9151274363199869
55,1,127.0,99.0,11008.003679141828,11017.0,0.1199036854515909,0.0,1,9.0,0,11008.0,0,0.0,1,0.0,1,0.6,0.9064299662907919
56,1,88.0,101.0,12.16552506059644,14.0,0.9995203750888836,12.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9072137276331583
57,1,25.0,103.0,4.58257569495584,7.0,0.9972614684112996,1.0,0,0.0,1,0.0,0,4.0,0,0.0,1,0.4,0.911926289399465
58,1,852.0,107.0,33144.00013577118,33147.0,0.1881728103873926,0.0,1,3.0,0,33144.0,0,0.0,1,0.0,1,0.6,0.8579938213030497
59,1,209.0,108.0,11.789826122551595,19.0,0.9869679625966268,3.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4,0.6605372329552969
60,1,820.0,109.0,5.385164807134504,9.0,0.9954698376873024,0.0,1,3.0,0,0.0,0,0.0,1,2.0,0,0.4,0.9109982252120972
61,1,397.0,110.0,14.142135623730953,20.0,0.960277741722052,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9160651167233785
62,1,747.0,113.0,14.247806848775006,21.0,0.8820693219105531,11.0,0,0.0,1,0.0,0,0.0,1,1.0,0,0.4,0.8365647196769714
63,1,729.0,116.0,22.15851980616034,33.0,0.5506887917539348,19.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8273635705312093
64,1,507.0,118.0,8.06225774829855,9.0,0.979670309742552,0.0,1,0.0,1,0.0,0,0.0,1,1.0,0,0.6,0.9116218487421671
65,1,1092.0,119.0,40992.00004879001,40994.0,0.1917753746572024,2.0,0,0.0,1,40992.0,0,0.0,1,0.0,1,0.6,0.868751585483551
66,1,784.0,123.0,17021.00105751715,17027.0,0.0855234477820097,0.0,1,6.0,0,17021.0,0,0.0,1,0.0,1,0.6,0.9102897246678671
67,1,936.0,125.0,8.12403840463596,12.0,0.9184477803746,4.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5203327685594559
68,1,234.0,127.0,25921.000945179567,25928.0,0.2273438185891141,0.0,1,7.0,0,25921.0,0,0.0,1,0.0,1,0.6,0.8199671904246012
69,1,959.0,129.0,7.681145747868608,11.0,0.9290341646006868,3.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5061939656734467
70,1,451.0,130.0,13.038404810405298,14.0,0.9662815010198446,13.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.864333967367808
71,1,649.0,133.0,8.602325267042627,12.0,0.920483322345388,3.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8081056873003641
72,1,249.0,134.0,15.684387141358124,24.0,0.8535946093990905,11.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.8464470307032267
73,1,464.0,136.0,22200.00225225214,22210.0,0.0534018409291043,0.0,1,10.0,0,22200.0,0,0.0,1,0.0,1,0.6,0.911943515141805
74,1,1005.0,139.0,18.466185312619388,27.0,0.9905486882904048,16.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7591090003649393
75,1,516.0,140.0,9.38083151964686,16.0,0.9925379908929096,4.0,0,2.0,0,0.0,0,0.0,1,2.0,0,0.2,0.1899133399128914
76,1,12.0,141.0,1408.0127840328723,1414.0,0.0954810144589677,0.0,1,6.0,0,1408.0,0,0.0,1,0.0,1,0.6,0.9083049496014913
77,1,261.0,148.0,11.74734012447073,20.0,0.8577587808841726,7.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7003886004288992
78,1,400.0,149.0,10.0,14.0,0.9741308997498224,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9157087008158366
79,1,156.0,152.0,13983.00432668173,13994.0,0.3276426736118025,0.0,1,11.0,0,13983.0,0,0.0,1,0.0,1,0.6,0.9012954433759054
80,1,349.0,153.0,18107.00176727224,18115.0,0.3395754116313618,0.0,1,8.0,0,18107.0,0,0.0,1,0.0,1,0.6,0.8777151505152384
81,1,1281.0,154.0,10.488088481701515,14.0,0.9838829400713764,1.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9143320520718893
82,1,650.0,155.0,41000.0007804878,41008.0,0.0505558294005454,0.0,1,8.0,0,41000.0,0,0.0,1,0.0,1,0.6,0.904104471206665
83,1,95.0,162.0,14099.005106744236,14111.0,0.0703948427022479,0.0,1,12.0,0,14099.0,0,0.0,1,0.0,1,0.6,0.9062910676002502
84,1,894.0,165.0,13.601470508735444,21.0,0.9875618613870454,9.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7477490703264872
85,1,883.0,166.0,8.06225774829855,9.0,0.9914242195994102,0.0,1,0.0,1,0.0,0,0.0,1,1.0,0,0.6,0.9143176078796387
86,1,120.0,168.0,18109.002236456872,18118.0,0.069762874757379,0.0,1,9.0,0,18109.0,0,0.0,1,0.0,1,0.6,0.905687948067983
87,1,299.0,169.0,22.22611077089287,26.0,0.9994187101186144,22.0,0,0.0,1,0.0,0,3.0,0,0.0,1,0.4,0.6376986503601074
88,1,256.0,172.0,6.324555320336759,8.0,0.9920991259622218,0.0,1,0.0,1,0.0,0,0.0,1,2.0,0,0.6,0.9164411028226217
89,1,940.0,173.0,64908.00173322239,64923.0,0.0414914925056654,0.0,1,15.0,0,64908.0,0,0.0,1,0.0,1,0.6,0.884732703367869
90,1,799.0,175.0,11.874342087037917,17.0,0.8534816373129043,4.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4,0.4983796974023183
91,1,745.0,176.0,10.392304845413264,14.0,0.9572688422609588,10.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5047914286454519
92,1,101.0,178.0,25928.001928417085,25938.0,0.1003446566267248,0.0,1,10.0,0,25928.0,0,0.0,1,0.0,1,0.6,0.9090298811594645
93,1,4.0,180.0,48.02082881417188,60.0,0.0294372404704731,47.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8736748298009237
94,1,640.0,181.0,47592.00067238191,47600.0,0.1328226616313473,0.0,1,8.0,0,47592.0,0,0.0,1,0.0,1,0.6,0.8942739367485046
95,1,736.0,182.0,15.0,21.0,0.8304617657355675,0.0,1,12.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9136465787887573
96,1,459.0,185.0,9.643650760992957,15.0,0.990842723387878,2.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8978984157244364
97,1,33.0,187.0,64184.00131652747,64197.0,0.2508949601310841,0.0,1,13.0,0,64184.0,0,0.0,1,0.0,1,0.6,0.8440148234367371
98,1,884.0,192.0,14.866068747318506,19.0,0.9585587887324964,14.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.8922763069470724
99,1,1013.0,193.0,49219.00082285296,49228.0,0.0416728975080282,0.0,1,9.0,0,49219.0,0,0.0,1,0.0,1,0.6,0.6507218182086945
100,1,841.0,196.0,12.36931687685298,21.0,0.8522535051023272,5.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4,0.3597972591718038
101,1,348.0,198.0,43291.00001154975,43292.0,0.2871599638097303,0.0,1,1.0,0,43291.0,0,0.0,1,0.0,1,0.6,0.9086693723996481
102,1,201.0,199.0,10.04987562112089,11.0,0.9456456626964508,0.0,1,0.0,1,0.0,0,0.0,1,1.0,0,0.6,0.9090453783671061
103,1,1070.0,201.0,10.44030650891055,13.0,0.9798810504667091,0.0,1,3.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9171648820241293
104,1,60.0,204.0,13.45362404707371,19.0,0.9165841589461344,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9168950319290161
105,1,1.0,206.0,40997.001756226025,41009.0,0.0725481307031516,0.0,1,12.0,0,40997.0,0,0.0,1,0.0,1,0.6,0.9037120540936788
106,1,1057.0,209.0,11.224972160321824,14.0,0.8911624822176736,1.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9111210107803345
107,1,108.0,211.0,43296.00019632299,43301.0,0.1937303708239486,1.0,0,4.0,0,43296.0,0,0.0,1,0.0,1,0.4,0.4624061385790507
108,1,105.0,213.0,46510.0002687594,46515.0,0.2274330727955936,0.0,1,5.0,0,46510.0,0,0.0,1,0.0,1,0.6,0.8280916015307108
109,1,639.0,215.0,13.92838827718412,24.0,0.8444362860071303,7.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4,0.707564651966095
110,1,1034.0,216.0,12.806248474865695,18.0,0.9354503262441148,12.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.553568830092748
111,1,320.0,217.0,24.1039415863879,33.0,0.81469083618666,23.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9091277917226156
112,1,522.0,218.0,45393.001101491405,45403.0,0.1446835089355591,10.0,0,0.0,1,45393.0,0,0.0,1,0.0,1,0.6,0.9095745086669922
113,1,1083.0,219.0,11.445523142259598,15.0,0.9834898177199746,0.0,1,3.0,0,0.0,0,0.0,1,1.0,0,0.4,0.872455378373464
114,1,1104.0,220.0,9.69535971483266,14.0,0.9883661902046812,2.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9152652422587076
115,1,515.0,222.0,12.36931687685298,15.0,0.98345764208818,0.0,1,12.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9162838061650594
116,1,206.0,224.0,12.041594578792296,17.0,0.981719852310566,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9163779815038046
117,1,22.0,225.0,7.211102550927978,10.0,0.9710455391174508,0.0,1,6.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9147247274716696
118,1,396.0,226.0,15.0,23.0,0.8462209098512543,2.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8866114219029745
119,1,281.0,229.0,10700.002990653787,10708.0,0.2308088601416686,0.0,1,8.0,0,10700.0,0,0.0,1,0.0,1,0.6,0.8988306919733683
120,1,840.0,231.0,11.224972160321824,18.0,0.9148648842599654,9.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4,0.6551427692174911
121,1,1064.0,232.0,18.027756377319943,25.0,0.8963321791834611,15.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.8499170343081156
122,1,1040.0,233.0,14093.001277229772,14099.0,0.1636532288473092,0.0,1,6.0,0,14093.0,0,0.0,1,0.0,1,0.6,0.8994772632916769
123,1,503.0,235.0,15.905973720586866,25.0,0.931223129828298,12.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.16852161288261414
124,1,786.0,238.0,1274.0141286500711,1280.0,0.2625933841154166,0.0,1,6.0,0,1274.0,0,0.0,1,0.0,1,0.6,0.9044909477233887
125,1,872.0,241.0,19.261360284258224,23.0,0.9211358327592138,19.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5042088131109873
126,1,1038.0,242.0,22.02271554554524,23.0,0.9493355502068908,22.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.8963069319725037
127,1,755.0,243.0,13.45362404707371,19.0,0.9792809368574552,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9164554675420126
128,1,255.0,245.0,79109.0012387971,79123.0,0.0325890999298977,0.0,1,14.0,0,79109.0,0,0.0,1,0.0,1,0.6,0.6909584403038025
129,1,309.0,246.0,5.385164807134504,7.0,0.9946833607353538,0.0,1,0.0,1,0.0,0,0.0,1,2.0,0,0.6,0.9163682063420614
130,1,472.0,248.0,45200.00039823008,45206.0,0.0251574856862,0.0,1,6.0,0,45200.0,0,0.0,1,0.0,1,0.6,0.8517758647600809
131,1,1179.0,251.0,26.1725046566048,37.0,0.5745981582621553,24.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8952727317810059
132,1,353.0,252.0,47108.00085972658,47117.0,0.0816101917540196,0.0,1,9.0,0,47108.0,0,0.0,1,0.0,1,0.6,0.7300715545813242
133,1,244.0,254.0,55090.001778907215,55104.0,0.3540555620098287,0.0,1,14.0,0,55090.0,0,0.0,1,0.0,1,0.6,0.8935234149297079
134,1,1272.0,255.0,45194.001593131805,45206.0,0.3046525408683884,0.0,1,12.0,0,45194.0,0,0.0,1,0.0,1,0.6,0.8913081089655558
135,1,1303.0,260.0,40996.00015855205,41001.0,0.1132265389611379,2.0,0,3.0,0,40996.0,0,0.0,1,0.0,1,0.4,0.7830909887949625
136,1,1309.0,263.0,15200.00266447345,15209.0,0.0410778292856106,0.0,1,9.0,0,15200.0,0,0.0,1,0.0,1,0.6,0.8857620557149252
137,1,11.0,264.0,60.08327554319921,64.0,0.0235310402667505,60.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.867944578329722
138,1,73.0,268.0,24.61706725018234,34.0,0.8906635587695553,22.0,0,1.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8942373991012573
139,1,721.0,270.0,49212.00082297,49221.0,0.1903785519131006,0.0,1,9.0,0,49212.0,0,0.0,1,0.0,1,0.6,0.8062066237131754
140,1,435.0,271.0,27399.00182488406,27409.0,0.3347121979562787,0.0,1,10.0,0,27399.0,0,0.0,1,0.0,1,0.6,0.89373250802358
141,1,23.0,273.0,66.01514977639603,68.0,0.021417646843906,66.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8333310683568319
142,1,1094.0,274.0,85221.00047523498,85230.0,0.2157019376246656,0.0,1,9.0,0,85221.0,0,0.0,1,0.0,1,0.6,0.8797224760055542
143,1,279.0,278.0,84126.00048142072,84135.0,0.071814241116848,0.0,1,9.0,0,84126.0,0,0.0,1,0.0,1,0.6,0.8074403802553812
144,1,475.0,280.0,11.224972160321824,16.0,0.9046241364463884,5.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4,0.5187836587429047
145,1,1305.0,282.0,18.62793601019716,27.0,0.9934974958117138,17.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8152313033739725
146,1,1192.0,285.0,47706.00104808618,47716.0,0.1022594292682619,0.0,1,10.0,0,47706.0,0,0.0,1,0.0,1,0.6,0.8425092299779257
147,1,809.0,288.0,82193.00049274269,82202.0,0.1222031586195093,0.0,1,9.0,0,82193.0,0,0.0,1,0.0,1,0.6,0.8878345489501953
148,1,647.0,291.0,12.409673645990855,20.0,0.8847019164931829,8.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7897462646166483
149,1,65.0,293.0,14.071247279470288,24.0,0.9882985302560384,9.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4,0.20035736759503683
150,1,109.0,297.0,18.894443627691185,27.0,0.989245935163948,17.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8492828408877054
151,1,831.0,299.0,40992.0,40992.0,0.2479347417950033,0.0,1,0.0,1,40992.0,0,0.0,1,0.0,1,0.8,0.9042219519615173
152,1,523.0,303.0,84118.00071922776,84129.0,0.0502808650990435,0.0,1,11.0,0,84118.0,0,0.0,1,0.0,1,0.6,0.7751650412877401
153,1,476.0,305.0,13.74772708486752,19.0,0.9362527417016812,13.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.8361798723538717
154,1,134.0,306.0,24.06241883103193,31.0,0.9277498988436388,23.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8887169361114502
155,1,807.0,308.0,40993.00004878882,40995.0,0.2290969610607836,2.0,0,0.0,1,40993.0,0,0.0,1,0.0,1,0.6,0.884184201558431
156,1,909.0,309.0,11.874342087037917,17.0,0.941817512127833,11.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.7873183687527975
157,1,304.0,312.0,99994.0000200012,99996.0,0.0729390288496842,2.0,0,0.0,1,99994.0,0,0.0,1,0.0,1,0.6,0.9134332736333212
158,1,181.0,314.0,10706.003782924794,10715.0,0.2506980015734146,0.0,1,9.0,0,10706.0,0,0.0,1,0.0,1,0.6,0.897652248541514
159,1,994.0,317.0,25.15949125081825,35.0,0.8900420976100686,23.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8859175443649292
160,1,1143.0,319.0,14.212670403551895,20.0,0.9700919675833294,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9155379931131998
161,1,133.0,320.0,82191.00087600831,82203.0,0.1923030329584327,0.0,1,12.0,0,82191.0,0,0.0,1,0.0,1,0.6,0.847276488939921
162,1,115.0,322.0,24.49489742783178,36.0,0.8744742933316693,22.0,0,4.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7895494302113851
163,1,123.0,325.0,1411.0287027555464,1420.0,0.1137536579086092,0.0,1,9.0,0,1411.0,0,0.0,1,0.0,1,0.6,0.908658484617869
164,1,452.0,328.0,64906.00093211721,64917.0,0.0871621662862529,0.0,1,11.0,0,64906.0,0,0.0,1,0.0,1,0.6,0.8310082753499349
165,1,498.0,332.0,13.038404810405298,18.0,0.9011710361853856,1.0,0,12.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8965569138526917
166,1,758.0,337.0,85484.00084226287,85496.0,0.1305098239080486,0.0,1,12.0,0,85484.0,0,0.0,1,0.0,1,0.6,0.8970277110735575
167,1,728.0,339.0,12.328828005937952,20.0,0.8982104610839204,4.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4,0.45823222398757935
168,1,1019.0,342.0,47729.00205325898,47743.0,0.1596422062595325,0.0,1,14.0,0,47729.0,0,0.0,1,0.0,1,0.6,0.8851550022761027
169,1,154.0,343.0,25.942243542145693,37.0,0.9935840119012092,24.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4,0.44319796562194824
170,1,1061.0,344.0,14.317821063276352,19.0,0.999241555019889,14.0,0,1.0,0,0.0,0,0.0,1,2.0,0,0.2,0.5350998838742574
171,1,402.0,347.0,74191.00043131916,74199.0,0.2478292563204738,0.0,1,8.0,0,74191.0,0,0.0,1,0.0,1,0.6,0.8940729101498922
172,1,92.0,349.0,25.317977802344327,35.0,0.9210937145710671,24.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9001315832138062
173,1,236.0,350.0,13.601470508735444,19.0,0.970745806557,0.0,1,11.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9162027835845947
174,1,333.0,352.0,15.427248620541512,26.0,0.8452569403804026,9.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4,0.833723227183024
175,1,139.0,359.0,27.49545416973504,38.0,0.8832686445659427,26.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9018089771270752
176,1,428.0,360.0,47103.0010615035,47113.0,0.1655264811508443,0.0,1,10.0,0,47103.0,0,0.0,1,0.0,1,0.6,0.7716005047162374
177,1,688.0,366.0,11.31370849898476,16.0,0.9794605846782132,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9149932265281677
178,1,385.0,370.0,12.12435565298214,17.0,0.9832221759160488,1.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9088402589162191
