age,sex,district,education,marital_status,B_year,employment_status,industry,main_activity
0-18,2,11,1.0,1,2012,-1.0,-1.0,-1.0
51-65,2,11,9.0,2,1963,3.0,47721.0,1.0
66+,2,11,10.0,2,1946,-1.0,-1.0,7.0
66+,2,11,19.0,2,1955,-1.0,43306.0,1.0
66+,1,11,13.0,2,1995,3.0,45203.0,7.0
0-18,2,11,13.0,1,1948,-1.0,-1.0,99.0
19-35,1,11,13.0,1,1987,6.0,14101.0,1.0
0-18,2,11,8.0,1,1967,-1.0,-1.0,7.0
36-50,2,11,10.0,2,1968,-1.0,-1.0,7.0
0-18,1,11,8.0,2,1991,2.0,-1.0,7.0
0-18,1,11,5.0,1,2007,-1.0,-1.0,-1.0
51-65,2,11,8.0,2,1996,5.0,-1.0,1.0
0-18,1,11,9.0,1,2003,-1.0,-1.0,8.0
0-18,1,11,12.0,1,2000,-1.0,-1.0,8.0
19-35,1,11,11.0,1,1993,2.0,86102.0,1.0
0-18,1,11,-1.0,2,1963,-1.0,-1.0,1.0
0-18,2,11,9.0,2,1928,2.0,-1.0,9.0
66+,1,11,4.0,1,2007,-1.0,-1.0,1.0
0-18,1,11,11.0,2,1971,5.0,49222.0,8.0
0-18,1,11,11.0,1,2000,3.0,47598.0,1.0
36-50,2,11,11.0,1,1944,5.0,-1.0,-1.0
19-35,2,11,10.0,2,1997,-1.0,-1.0,7.0
66+,2,11,12.0,2,1946,-1.0,-1.0,-1.0
51-65,2,11,13.0,2,1966,5.0,10712.0,7.0
66+,1,11,11.0,2,1949,-1.0,-1.0,5.0
19-35,2,11,12.0,2,1973,-1.0,14101.0,-1.0
51-65,2,11,13.0,1,1995,3.0,-1.0,4.0
66+,2,11,1.0,4,1924,-1.0,-1.0,9.0
0-18,2,11,7.0,1,2007,-1.0,-1.0,-1.0
51-65,1,11,10.0,2,1957,3.0,41003.0,1.0
66+,1,11,10.0,1,1960,1.0,-1.0,1.0
19-35,2,11,10.0,2,1997,-1.0,-1.0,7.0
19-35,1,11,10.0,2,1947,-1.0,-1.0,1.0
66+,2,11,13.0,2,1989,-1.0,-1.0,7.0
19-35,2,11,13.0,2,1963,-1.0,-1.0,1.0
36-50,2,11,10.0,1,1972,-1.0,-1.0,7.0
19-35,2,11,5.0,2,1998,-1.0,-1.0,1.0
51-65,1,11,3.0,2,1961,3.0,99998.0,1.0
19-35,1,11,1.0,2,2009,-1.0,-1.0,-1.0
19-35,2,11,12.0,2,1987,-1.0,-1.0,-1.0
51-65,1,11,5.0,2,1987,5.0,10712.0,9.0
0-18,2,11,2.0,1,1991,3.0,10711.0,9.0
36-50,2,11,13.0,1,1937,6.0,-1.0,1.0
36-50,2,11,11.0,2,1947,-1.0,10791.0,7.0
19-35,1,11,-1.0,2,1968,5.0,61901.0,-1.0
0-18,1,11,13.0,2,1941,3.0,-1.0,1.0
51-65,1,11,5.0,1,1967,3.0,46492.0,1.0
36-50,1,11,11.0,2,1975,3.0,41003.0,1.0
0-18,1,11,9.0,2,2004,3.0,46900.0,8.0
36-50,2,11,13.0,1,2014,3.0,41002.0,1.0
66+,2,11,10.0,2,1968,5.0,-1.0,1.0
36-50,2,11,11.0,2,1979,5.0,47113.0,1.0
36-50,1,11,12.0,1,1999,3.0,-1.0,1.0
51-65,2,11,13.0,2,1963,-1.0,-1.0,7.0
0-18,2,11,-1.0,1,2015,-1.0,-1.0,-1.0
36-50,1,11,11.0,2,1970,-1.0,-1.0,99.0
36-50,2,11,11.0,2,1995,-1.0,-1.0,1.0
0-18,2,11,-1.0,1,2018,-1.0,-1.0,-1.0
36-50,2,11,11.0,2,1947,-1.0,10791.0,7.0
36-50,2,11,11.0,2,1973,-1.0,-1.0,7.0
19-35,1,11,15.0,1,1995,3.0,64191.0,1.0
51-65,1,11,8.0,1,1974,-1.0,64910.0,1.0
51-65,2,11,8.0,2,1962,-1.0,-1.0,7.0
51-65,1,11,13.0,1,2009,5.0,-1.0,1.0
51-65,2,11,10.0,2,1949,3.0,86203.0,-1.0
51-65,1,11,10.0,4,1982,-1.0,55101.0,4.0
19-35,1,11,12.0,1,1962,2.0,-1.0,-1.0
19-35,1,11,6.0,4,1989,-1.0,-1.0,-1.0
66+,1,11,15.0,2,1934,-1.0,-1.0,4.0
0-18,1,11,11.0,1,1960,3.0,-1.0,1.0
19-35,2,11,13.0,2,1942,-1.0,-1.0,-1.0
51-65,2,11,13.0,1,1939,-1.0,97006.0,-1.0
66+,2,11,10.0,2,1982,-1.0,-1.0,1.0
51-65,2,11,13.0,2,2003,5.0,-1.0,8.0
36-50,1,11,13.0,2,1971,1.0,84230.0,1.0
19-35,2,11,12.0,2,1959,-1.0,-1.0,8.0
36-50,2,11,10.0,7,1977,-1.0,-1.0,7.0
19-35,1,11,13.0,1,1978,-1.0,-1.0,-1.0
36-50,2,11,10.0,2,1972,-1.0,-1.0,1.0
51-65,1,11,10.0,2,1957,3.0,41003.0,1.0
66+,2,11,13.0,4,1937,-1.0,-1.0,6.0
19-35,2,11,13.0,1,1999,2.0,64191.0,1.0
51-65,2,11,8.0,1,1994,3.0,-1.0,1.0
19-35,1,11,11.0,2,1975,3.0,1285.0,1.0
0-18,1,11,-1.0,1,1997,-1.0,47721.0,7.0
0-18,2,11,13.0,2,1958,3.0,23933.0,7.0
36-50,1,11,13.0,2,1972,3.0,64910.0,1.0
66+,1,11,10.0,2,1975,-1.0,10505.0,1.0
0-18,2,11,16.0,1,2004,-1.0,-1.0,1.0
66+,2,11,6.0,2,1937,-1.0,-1.0,9.0
19-35,1,11,10.0,1,1991,-1.0,-1.0,3.0
36-50,2,11,11.0,2,1975,-1.0,-1.0,7.0
19-35,2,11,16.0,2,1988,-1.0,-1.0,-1.0
19-35,2,11,9.0,2,1959,6.0,82200.0,7.0
51-65,1,11,4.0,1,1958,-1.0,-1.0,9.0
0-18,1,11,10.0,1,2003,-1.0,-1.0,8.0
19-35,2,11,13.0,1,1998,-1.0,-1.0,-1.0
51-65,2,11,11.0,2,2013,-1.0,-1.0,1.0
19-35,2,11,4.0,1,1976,-1.0,-1.0,1.0
66+,1,11,16.0,2,1939,3.0,85492.0,1.0
51-65,1,11,-1.0,1,1934,-1.0,85102.0,1.0
19-35,1,11,13.0,1,1989,3.0,18111.0,1.0
66+,2,11,5.0,2,1969,3.0,-1.0,-1.0
0-18,1,11,11.0,1,1996,-1.0,-1.0,9.0
0-18,1,11,4.0,1,2008,-1.0,-1.0,-1.0
66+,2,11,6.0,2,1974,-1.0,-1.0,-1.0
51-65,1,11,7.0,2,1960,5.0,10711.0,1.0
0-18,2,11,12.0,4,2004,3.0,-1.0,1.0
66+,2,11,10.0,1,1999,3.0,47817.0,1.0
0-18,2,11,8.0,1,2004,3.0,-1.0,99.0
51-65,2,11,11.0,2,1996,-1.0,-1.0,7.0
19-35,2,11,10.0,2,2014,2.0,-1.0,7.0
51-65,1,11,13.0,2,1961,1.0,84130.0,1.0
36-50,2,11,11.0,2,1958,-1.0,-1.0,1.0
19-35,2,11,15.0,2,1992,-1.0,-1.0,-1.0
0-18,1,11,13.0,2,1959,-1.0,36002.0,1.0
36-50,1,11,10.0,1,1993,-1.0,-1.0,-1.0
66+,2,11,7.0,2,1946,-1.0,-1.0,7.0
19-35,2,11,13.0,4,1982,-1.0,45201.0,5.0
36-50,1,11,10.0,2,1973,3.0,47598.0,1.0
51-65,2,11,10.0,2,2004,-1.0,64910.0,-1.0
0-18,1,11,10.0,2,1979,-1.0,-1.0,7.0
0-18,2,11,12.0,1,2000,-1.0,-1.0,8.0
19-35,2,11,10.0,1,1995,3.0,47619.0,1.0
36-50,1,11,5.0,2,1978,5.0,31001.0,1.0
0-18,1,11,13.0,1,1995,3.0,31007.0,1.0
66+,1,11,11.0,1,1948,-1.0,-1.0,1.0
0-18,2,11,11.0,1,2001,-1.0,-1.0,8.0
19-35,2,11,13.0,2,1985,3.0,10503.0,1.0
36-50,1,11,8.0,2,1974,3.0,47591.0,1.0
66+,1,11,8.0,2,1960,-1.0,-1.0,8.0
36-50,1,11,-1.0,1,1997,-1.0,-1.0,8.0
36-50,1,11,-1.0,1,1976,-1.0,-1.0,7.0
0-18,2,11,12.0,2,2006,-1.0,-1.0,-1.0
0-18,2,11,10.0,1,2003,-1.0,-1.0,8.0
66+,2,11,5.0,2,1945,-1.0,-1.0,5.0
66+,2,11,10.0,2,1947,-1.0,-1.0,9.0
66+,2,11,8.0,2,1942,-1.0,-1.0,7.0
0-18,1,11,5.0,2,1982,-1.0,-1.0,-1.0
51-65,1,11,13.0,2,1995,-1.0,-1.0,1.0
36-50,1,11,11.0,2,1968,5.0,1411.0,1.0
19-35,1,11,7.0,2,1963,2.0,-1.0,7.0
0-18,2,11,-1.0,2,1998,-1.0,-1.0,1.0
66+,2,11,10.0,2,1968,-1.0,14105.0,7.0
0-18,1,11,12.0,1,2000,-1.0,-1.0,8.0
0-18,2,11,12.0,2,2006,-1.0,-1.0,-1.0
0-18,2,11,0.0,2,1986,3.0,-1.0,8.0
66+,1,11,8.0,1,1953,-1.0,41002.0,9.0
19-35,2,11,13.0,2,1991,3.0,82200.0,1.0
19-35,2,11,12.0,2,1985,5.0,14105.0,7.0
0-18,1,11,0.0,1,2013,-1.0,-1.0,-1.0
36-50,2,11,5.0,2,1979,-1.0,-1.0,7.0
36-50,1,11,12.0,1,1997,-1.0,-1.0,1.0
36-50,2,11,13.0,2,1971,-1.0,-1.0,7.0
0-18,2,11,12.0,1,1960,1.0,55101.0,2.0
51-65,2,11,5.0,2,1990,-1.0,-1.0,1.0
36-50,2,11,9.0,1,1996,-1.0,1414.0,-1.0
36-50,1,11,13.0,2,2007,3.0,11041.0,-1.0
36-50,1,11,11.0,2,1953,3.0,33150.0,1.0
36-50,2,11,5.0,2,1979,-1.0,-1.0,7.0
51-65,1,11,9.0,2,2008,-1.0,49221.0,7.0
66+,2,11,-1.0,2,2000,1.0,-1.0,-1.0
0-18,1,11,15.0,1,1989,3.0,85229.0,-1.0
66+,1,11,9.0,2,1958,-1.0,47113.0,-1.0
66+,2,11,5.0,4,1939,-1.0,-1.0,9.0
36-50,2,11,13.0,1,1959,5.0,-1.0,1.0
51-65,2,11,19.0,2,1960,3.0,97004.0,1.0
19-35,2,11,11.0,2,1946,-1.0,14101.0,1.0
0-18,1,11,10.0,2,1997,3.0,85101.0,1.0
19-35,1,11,13.0,1,1995,5.0,-1.0,-1.0
36-50,1,11,10.0,2,2017,6.0,64191.0,1.0
19-35,2,11,10.0,1,2012,3.0,-1.0,1.0
51-65,2,11,10.0,2,1989,-1.0,41002.0,8.0
0-18,1,11,10.0,1,1974,-1.0,85101.0,3.0
66+,1,11,0.0,2,1988,-1.0,45402.0,7.0
36-50,2,11,7.0,2,1987,3.0,10711.0,-1.0
19-35,1,11,11.0,1,1996,-1.0,49221.0,7.0
51-65,2,11,13.0,2,1961,-1.0,-1.0,7.0
36-50,1,11,-1.0,2,1943,-1.0,64910.0,1.0
66+,1,11,12.0,1,2015,-1.0,16291.0,-1.0
36-50,2,11,13.0,2,1976,-1.0,-1.0,4.0
19-35,2,11,9.0,1,1976,-1.0,-1.0,8.0
19-35,2,11,1.0,2,1963,3.0,10711.0,1.0
19-35,1,11,10.0,2,1975,-1.0,-1.0,8.0
19-35,1,11,10.0,2,1988,3.0,55101.0,1.0
0-18,1,11,5.0,1,1988,3.0,84110.0,1.0
0-18,2,11,19.0,2,1937,3.0,45402.0,1.0
0-18,2,11,10.0,2,1937,-1.0,14101.0,1.0
36-50,2,11,10.0,2,1964,3.0,10791.0,1.0
0-18,2,11,11.0,2,1971,-1.0,-1.0,7.0
0-18,1,11,9.0,2,1959,3.0,47619.0,7.0
51-65,2,11,8.0,4,1960,5.0,47817.0,1.0
51-65,1,11,10.0,2,2001,3.0,-1.0,-1.0
51-65,2,11,10.0,1,1996,5.0,95111.0,7.0
51-65,1,11,13.0,4,1996,-1.0,41002.0,8.0
0-18,2,11,5.0,1,1960,-1.0,-1.0,7.0
51-65,2,11,13.0,1,1975,-1.0,-1.0,-1.0
66+,1,11,8.0,2,1956,-1.0,41003.0,1.0
51-65,2,11,3.0,1,1968,3.0,84130.0,1.0
36-50,2,11,9.0,7,1972,2.0,1291.0,1.0
51-65,1,11,12.0,2,1967,-1.0,-1.0,4.0
19-35,2,11,11.0,2,2003,-1.0,-1.0,-1.0
19-35,2,11,13.0,1,1968,-1.0,46303.0,9.0
36-50,2,11,13.0,1,1942,-1.0,10712.0,8.0
36-50,1,11,11.0,1,1971,1.0,-1.0,1.0
19-35,1,11,13.0,1,1997,1.0,84120.0,1.0
51-65,1,11,8.0,2,1958,-1.0,-1.0,4.0
36-50,1,11,10.0,1,1957,1.0,-1.0,1.0
0-18,2,11,13.0,2,1939,-1.0,-1.0,1.0
19-35,1,11,-1.0,1,2004,2.0,-1.0,-1.0
51-65,2,11,19.0,1,2014,1.0,-1.0,7.0
51-65,2,11,5.0,2,1990,-1.0,-1.0,1.0
0-18,2,11,12.0,1,1929,-1.0,97004.0,1.0
19-35,2,11,10.0,1,1973,-1.0,-1.0,4.0
0-18,2,11,16.0,2,1967,-1.0,-1.0,1.0
19-35,2,11,7.0,1,1981,-1.0,-1.0,1.0
0-18,1,11,13.0,2,2003,-1.0,49233.0,8.0
0-18,2,11,-1.0,1,2014,-1.0,-1.0,-1.0
0-18,2,11,11.0,2,1996,1.0,-1.0,-1.0
36-50,2,11,13.0,2,1988,-1.0,18112.0,9.0
51-65,2,11,10.0,2,1963,6.0,10711.0,1.0
66+,2,11,10.0,4,1938,-1.0,-1.0,9.0
19-35,1,11,15.0,1,1987,5.0,47734.0,1.0
19-35,1,11,10.0,2,1976,3.0,-1.0,1.0
19-35,2,11,13.0,2,1991,1.0,85211.0,1.0
36-50,1,11,7.0,1,1999,-1.0,46521.0,7.0
0-18,1,11,2.0,1,2011,-1.0,-1.0,-1.0
66+,2,11,7.0,2,1946,-1.0,-1.0,7.0
0-18,1,11,10.0,1,1990,-1.0,-1.0,1.0
19-35,2,11,10.0,2,2001,-1.0,15121.0,1.0
0-18,2,11,1.0,1,2012,-1.0,-1.0,-1.0
66+,1,11,3.0,2,1939,-1.0,-1.0,5.0
0-18,1,11,8.0,1,2004,-1.0,-1.0,-1.0
0-18,2,11,7.0,2,1975,-1.0,-1.0,-1.0
36-50,1,11,13.0,4,1952,-1.0,-1.0,-1.0
66+,2,11,8.0,2,1939,-1.0,-1.0,1.0
51-65,2,11,11.0,1,1967,-1.0,-1.0,7.0
66+,1,11,-1.0,7,1987,-1.0,36002.0,3.0
0-18,1,11,-1.0,1,2016,-1.0,-1.0,-1.0
66+,1,11,10.0,2,1947,-1.0,-1.0,9.0
36-50,2,11,10.0,2,1974,-1.0,-1.0,7.0
19-35,2,11,13.0,1,1972,3.0,49222.0,1.0
36-50,2,11,-1.0,2,2010,-1.0,41003.0,1.0
36-50,2,11,13.0,2,1976,-1.0,-1.0,4.0
66+,1,11,11.0,2,1939,-1.0,-1.0,9.0
36-50,1,11,10.0,1,2011,-1.0,-1.0,-1.0
0-18,1,11,10.0,1,1947,-1.0,-1.0,1.0
51-65,2,11,10.0,2,1955,-1.0,-1.0,7.0
51-65,2,11,12.0,5,1956,-1.0,-1.0,7.0
19-35,2,11,13.0,2,1983,3.0,-1.0,1.0
19-35,2,11,11.0,1,1994,3.0,47113.0,1.0
19-35,2,11,10.0,2,1991,6.0,23933.0,1.0
0-18,2,11,0.0,1,2013,-1.0,-1.0,-1.0
0-18,1,11,7.0,1,2006,-1.0,-1.0,-1.0
19-35,2,11,13.0,1,1995,3.0,10629.0,1.0
0-18,1,11,2.0,1,2004,-1.0,-1.0,7.0
36-50,1,11,5.0,1,1958,-1.0,47113.0,7.0
0-18,1,11,11.0,2,2009,-1.0,47817.0,-1.0
66+,1,11,13.0,2,2000,3.0,-1.0,2.0
0-18,1,11,7.0,2,1999,-1.0,46496.0,9.0
19-35,1,11,10.0,2,1981,-1.0,-1.0,-1.0
0-18,2,11,16.0,2,1967,-1.0,-1.0,1.0
36-50,2,11,11.0,2,1998,-1.0,-1.0,7.0
51-65,1,11,11.0,2,1959,3.0,22203.0,1.0
66+,2,11,7.0,4,1951,5.0,47596.0,1.0
36-50,2,11,9.0,2,1977,-1.0,-1.0,7.0
19-35,2,11,13.0,2,1972,-1.0,-1.0,9.0
66+,2,11,8.0,2,1939,-1.0,-1.0,1.0
36-50,2,11,19.0,2,1972,-1.0,-1.0,7.0
36-50,1,11,13.0,2,1941,5.0,-1.0,-1.0
36-50,1,11,9.0,2,1981,3.0,43306.0,1.0
66+,2,11,2.0,1,1951,3.0,49222.0,7.0
0-18,2,11,13.0,4,1963,6.0,-1.0,9.0
66+,2,11,5.0,2,1945,-1.0,-1.0,5.0
19-35,2,11,13.0,1,1998,-1.0,-1.0,8.0
36-50,1,11,5.0,2,1996,-1.0,97006.0,8.0
36-50,1,11,13.0,2,1981,3.0,55101.0,1.0
51-65,2,11,10.0,1,1985,-1.0,41003.0,8.0
51-65,1,11,4.0,1,1995,3.0,-1.0,1.0
19-35,2,11,8.0,2,1949,3.0,-1.0,1.0
51-65,2,11,-1.0,1,1941,-1.0,-1.0,1.0
19-35,1,11,7.0,2,1945,3.0,-1.0,-1.0
36-50,1,11,11.0,2,1958,-1.0,-1.0,1.0
0-18,2,11,10.0,1,2002,-1.0,-1.0,8.0
0-18,2,11,13.0,5,2009,-1.0,99998.0,7.0
36-50,2,11,8.0,2,1991,2.0,-1.0,7.0
51-65,2,11,4.0,2,2009,5.0,-1.0,-1.0
19-35,2,11,13.0,2,1989,-1.0,-1.0,7.0
36-50,2,11,12.0,2,1981,-1.0,-1.0,7.0
36-50,1,11,3.0,2,1937,3.0,-1.0,1.0
51-65,2,11,13.0,1,1972,-1.0,53200.0,8.0
51-65,2,11,14.0,2,2004,3.0,-1.0,4.0
0-18,2,11,4.0,1,2009,-1.0,-1.0,-1.0
51-65,2,11,12.0,2,2013,-1.0,-1.0,1.0
51-65,1,11,10.0,1,1992,-1.0,-1.0,1.0
36-50,2,11,7.0,1,1944,-1.0,-1.0,9.0
36-50,2,11,5.0,1,1999,-1.0,-1.0,-1.0
19-35,2,11,16.0,1,1986,-1.0,-1.0,3.0
36-50,2,11,12.0,1,1982,2.0,46900.0,1.0
0-18,2,11,-1.0,1,2014,-1.0,-1.0,-1.0
36-50,2,11,0.0,2,1955,-1.0,-1.0,-1.0
