pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity
86,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
87,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
88,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
89,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
90,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
91,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
92,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
93,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
94,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
95,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
96,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
97,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
98,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
99,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
100,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
101,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
102,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
103,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
104,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
105,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
107,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
108,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
109,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
110,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
111,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
112,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
113,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
114,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
115,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
116,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
117,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
118,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
119,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
