pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity
17,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1.0
65,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
41,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1.0
79,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1.0
53,1,53.0,53.0,0.0,0.0,1.0,0.0,1,1,1,1.0
51,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1.0
76,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
91,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
92,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
69,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
81,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
28,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1.0
54,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,1.0
105,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
48,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1.0
50,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1.0
47,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1.0
61,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
112,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
72,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
75,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
63,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
73,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
60,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
96,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
58,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1.0
95,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
19,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1.0
71,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
62,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
113,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
21,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1.0
94,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
83,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
84,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
115,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
110,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
37,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1.0
24,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1.0
93,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
87,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
104,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
